"GENOTYPE","d.T3","g.T3","a.T3","d.T","g.T","a.T","Total.Tocotrienols","Total.Tocopherols","Total.Tocochromanols"
"Ames10249",0.331144551,5.481638941,6.581570512,0.980978539,27.23420976,3.081427123,12.35488903,31.17016625,44.79277699
"Ames10252",0.546011682,10.62631152,12.72675563,1.0786532,33.68847141,4.804920733,24.08937746,39.81922193,63.64539069
"Ames10254",0.763619508,15.71820891,15.44017301,0.511847734,6.942956561,6.768497572,31.9553,13.96122275,46.20744311
"Ames10255",0.354175972,6.954777714,9.616035733,0.384933777,7.303468679,3.357189469,16.76788695,10.50194473,27.82154702
"Ames10256",0.34996578,22.74669497,7.595198763,1.33313385,42.02354718,-0.115921535,30.73341483,42.95229218,73.89424017
"Ames10261",0.736364581,18.73774258,13.3134586,0.28889448,18.72504337,13.60435496,32.70952723,32.66262789,65.32829538
"Ames10265",0.057473306,5.750037442,7.461235432,1.289039349,46.80392428,2.380910931,13.45904482,50.72105114,63.91688726
"Ames10271",0.882928277,13.26661936,8.376975011,0.427665528,25.99977848,0.876537279,22.6341274,27.97491128,51.04427783
"Ames10272",3.011995089,37.27337865,9.035982557,2.042540743,47.644893,5.990117386,50.30589231,55.76080303,105.8937109
"Ames10273",0.425575776,5.444320959,16.19437403,1.085146948,26.51543747,9.992862561,22.56312466,37.6788307,59.98718918
"Ames10274",2.847906736,18.29180616,12.53233677,3.770355511,59.27000482,16.14010291,33.82829375,79.3881616,113.1286349
"Ames10277",0.737773835,12.7734105,7.788422227,0.698576796,17.25340998,5.688619241,21.51102995,23.7342621,45.03720003
"Ames10287",0.617988323,15.1241918,6.038263074,-0.055879631,8.199811608,1.159862167,21.81398267,9.409374548,31.48683925
"Ames12727",0.774645429,11.19435103,7.242657605,0.252391394,8.523150593,4.680914183,19.20847452,13.51651837,32.88734546
"Ames12728",0.307355825,8.507911507,15.35524985,3.772098555,60.8486378,7.822602489,23.98580151,72.37041002,96.44559661
"Ames12729",0.230472554,3.431433469,11.65292358,0.373058591,14.03080468,14.40171508,15.48486159,28.93069081,44.41238194
"Ames12730",0.707609998,10.75521208,7.806719403,3.553703797,52.65808128,0.592707947,19.59824597,56.45642071,75.68784971
"Ames12731",1.014365114,19.56389363,5.230014748,4.275079415,51.728902,2.972746591,25.72164376,58.94979433,84.96386977
"Ames12740",1.148057698,18.38991371,7.051455979,1.721889342,40.45575264,4.052509989,26.68353427,46.48112508,73.45898552
"Ames12814",0.616241249,10.54239955,6.474174423,2.28873955,38.19425106,8.437470163,17.64296823,48.85825779,67.53022031
"Ames12815",1.39783328,46.71806538,11.36589342,4.430486937,70.85825352,5.955422764,59.67998251,82.14203647,142.4710213
"Ames12816",0.678158186,8.236989662,8.519268369,0.785256108,32.52119652,13.53731186,17.43564767,46.61984606,64.24132128
"Ames12817",0.533483654,6.389276839,5.161678002,0.173893856,21.47765153,1.019307448,12.05426757,23.01134275,35.27044384
"Ames12818",1.785801559,27.62872103,14.12905683,3.212317122,52.26823319,16.28657732,43.51093296,71.80885276,116.1718638
"Ames12819",0.624476375,9.09241336,3.79997357,1.339691832,38.46011923,2.093298971,14.43323109,42.40115094,56.78975885
"Ames12820",0.464562275,7.206072067,5.558842816,1.060503207,29.90548392,2.120237857,13.22880237,33.13421827,47.38201929
"Ames12822",0.409390414,17.27302659,5.725727246,0.800021766,29.84172062,0.561450512,22.15644584,31.28681763,53.99038
"Ames12823",0.427814065,20.89410866,6.027110875,1.765117703,NA,0.842178497,27.42003697,42.97019481,70.82168891
"Ames12824",0.300485407,13.45456941,9.265566761,0.991871548,31.68825479,12.6772117,23.18398254,45.88814269,69.32777691
"Ames14112",1.320390009,19.99794406,9.834282,0.603540084,23.96710371,7.715058831,31.574226,31.9364203,64.24690877
"Ames14113",0.683905022,12.46601561,5.294352131,2.18246707,50.59953106,1.79883616,18.58857295,54.85541065,73.59740335
"Ames14114",0.380566697,11.42491724,8.39044017,0.462473268,11.81528598,4.735047727,20.29188875,17.06101145,37.96359704
"Ames14115",0.363831744,15.91006747,5.751448743,0.642141331,24.68895497,1.068166813,22.15566673,27.00557148,49.99262306
"Ames14116",0.313262426,18.68247466,13.19878231,1.083787878,36.05875525,5.645821824,32.22046557,42.74119479,75.75021897
"Ames14211",1.418179223,14.2284902,4.211422029,4.46005478,78.14177151,3.507744337,19.74310195,86.33193967,106.5184386
"Ames18999",5.049345358,11.88082627,7.051384143,NA,94.67558324,3.425859024,24.20975778,106.5011689,130.3688975
"Ames19000",0.208782135,9.843773273,6.740553731,0.829513079,32.16346601,8.6422266,16.89684143,42.00283647,59.04590774
